Galaxy,Name_UI,uband,gband,rband,iband,zband,Redshift,radialVelocity_UI,luminosity_UI,angularSize_UI,Camera
Galaxy1,M100; NGC4321,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-u-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-g-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-r-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-i-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-z-004381-5-0099.fits.bz2,185.728463,V(km/s) 1899,9.5 mag,7x6 arc-minutes.,Forward Facing
Galaxy2,m98; NGC4321,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-u-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-g-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-r-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-i-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-z-004381-5-0099.fits.bz2,185.728463,V(km/s) 184,10.5 mag,9.5x3. 2 arc-minutes,Edge wise
Galaxy3,m49 NGC4548,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0120.fits.bz2,187.4449,V(km/s) 479.00 ,-23.2 mag, 9x7. 5 arc-minutes.,Forward Facing
Galaxy4,m61; NGC4548,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0120.fits.bz2,188.860186,V(km/s) 1899,14.7 mag,6 x 5.5 arc-minutes,Forward Facing
Galaxy5,m84; NGC4548,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/4/frame-u-003836-4-0249.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/4/frame-g-003836-4-0249.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/4/frame-r-003836-4-0249.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/4/frame-i-003836-4-0249.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/4/frame-z-003836-4-0249.fits.bz2,186.265597,V(km/s) 999,9.1 mag,5 arc-minutes,Forward Facing
Galaxy7,m100; NGC4548,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-u-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-g-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-r-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-i-004381-5-0099.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/5/frame-z-004381-5-0099.fits.bz2,185.728874,V(km/s) 227,10.2 mag,5.4x4 arc-minutes,Forward Facing
Galaxy8,M91; NGC4651,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0120.fits.bz2,188.860186,V(km/s) 486,10.8 mag,5.4x4. 4 arc-minutes,Forward Facing
Galaxy9,m50 NGC4548,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0120.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0120.fits.bz2,187.4449,V(km/s) 803,-23.2 mag,9x7. 5 arc-minutes,Forward Facing
Galaxy10,M85,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-u-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-g-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-r-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-i-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-z-005376-5-0028.fits.bz2,186.350221,V(km/s) 1056,11.7 mag,7.1 x 5.2 arc-minutes.,Forward Facing
Galaxy11,M99,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0093.fits.bz2,186.350221,V(km/s) 2735,9.9 mag,5.4x4. 8 arc-minutes.,Edge wise
